Image#  Defocus1  Defocus2  Astig
    0   31776.1   31280.3    0.82
    0   31776.1   31280.3    0.82
    0   31776.1   31280.3    0.82
    1   33185.1   32330.8   76.89
    1   33185.1   32330.8   76.89
    1   33185.1   32330.8   76.89
    1   33185.1   32330.8   76.89
    2   29452.3   30845.0    3.24
    2   29452.3   30845.0    3.24
    2   29452.3   30845.0    3.24
    2   29452.3   30845.0    3.24
    3   28858.6   30016.6   -1.91
    3   28858.6   30016.6   -1.91
    4   25812.7   26812.5   -4.57
    4   25812.7   26812.5   -4.57
    5   27187.6   27669.8   32.60
    6   25891.5   26562.1   -4.38
    7   24812.9   23760.3   75.77
    7   24812.9   23760.3   75.77
    7   24812.9   23760.3   75.77
    8   24336.1   23952.1   68.81
    8   24336.1   23952.1   68.81
    9   30609.3   31465.1    0.92
   10   31105.8   32633.1   -1.78
   10   31105.8   32633.1   -1.78
   10   31105.8   32633.1   -1.78
   10   31105.8   32633.1   -1.78
   10   31105.8   32633.1   -1.78
   11   30001.7   31547.4   -5.30
   11   30001.7   31547.4   -5.30
   11   30001.7   31547.4   -5.30
   11   30001.7   31547.4   -5.30
   12   27749.7   29490.0   -2.01
   12   27749.7   29490.0   -2.01
   13   26564.8   27705.0   -2.16
   13   26564.8   27705.0   -2.16
   14   26307.2   25684.6   41.11
   14   26307.2   25684.6   41.11
   14   26307.2   25684.6   41.11
   14   26307.2   25684.6   41.11
   14   26307.2   25684.6   41.11
   15   23961.6   25160.7   -4.38
   15   23961.6   25160.7   -4.38
   15   23961.6   25160.7   -4.38
   15   23961.6   25160.7   -4.38
   15   23961.6   25160.7   -4.38
   16   31624.3   31970.4   36.16
   17   33296.3   32196.7   79.79
   17   33296.3   32196.7   79.79
   18   28833.2   29531.0   -5.83
   18   28833.2   29531.0   -5.83
   19   30061.2   29704.7   65.79
   19   30061.2   29704.7   65.79
   19   30061.2   29704.7   65.79
   20   28113.1   28068.6   67.07
   20   28113.1   28068.6   67.07
   20   28113.1   28068.6   67.07
   21   27644.1   27973.5   13.99
   21   27644.1   27973.5   13.99
   21   27644.1   27973.5   13.99
   22   27719.0   28278.8    5.29
   23   23914.7   24985.3   -2.71
   24   23172.1   23965.8   -0.40
   25   41721.6   40644.4   65.48
   25   41721.6   40644.4   65.48
   25   41721.6   40644.4   65.48
   25   41721.6   40644.4   65.48
   26   41604.3   41088.4   58.59
   26   41604.3   41088.4   58.59
   27   36844.5   36206.9   48.77
   28   39183.5   39580.9   -6.31
   28   39183.5   39580.9   -6.31
   28   39183.5   39580.9   -6.31
   29   38925.7   38180.5   51.96
   29   38925.7   38180.5   51.96
   30   37004.0   36106.6   77.57
   31   35552.9   36692.1    8.73
   31   35552.9   36692.1    8.73
   32   31016.9   31863.4   -0.74
   32   31016.9   31863.4   -0.74
   33   30376.4   31161.4    3.43
   33   30376.4   31161.4    3.43
   33   30376.4   31161.4    3.43
   34   31272.0   30235.8   75.47
   34   31272.0   30235.8   75.47
   34   31272.0   30235.8   75.47
   34   31272.0   30235.8   75.47
   34   31272.0   30235.8   75.47
   35   29736.0   31271.5   -7.60
   35   29736.0   31271.5   -7.60
   36   30392.9   29029.1   75.04
   37   26281.6   25164.3   71.27
   37   26281.6   25164.3   71.27
   38   26475.1   25563.4   76.05
   39   27292.1   26410.8   76.28
   40   24610.3   25457.9  -11.19
   41   42982.5   44086.5   -7.18
   41   42982.5   44086.5   -7.18
   41   42982.5   44086.5   -7.18
   41   42982.5   44086.5   -7.18
   42   43174.4   42139.8   42.01
   43   40697.6   40014.0   76.99
   43   40697.6   40014.0   76.99
   44   36871.6   37393.9   -1.42
   44   36871.6   37393.9   -1.42
   45   38209.4   37547.1   78.14
   46   35813.5   37323.4   10.54
   47   37343.6   38849.0    4.66
   48   36498.3   35457.8   53.92
   48   36498.3   35457.8   53.92
   49   34254.1   33476.7   60.44
   49   34254.1   33476.7   60.44
   50   30266.2   28830.7   78.51
   50   30266.2   28830.7   78.51
   50   30266.2   28830.7   78.51
   50   30266.2   28830.7   78.51
   51   28952.3   28375.3   57.09
   52   27244.7   27210.4   50.86
   52   27244.7   27210.4   50.86
   52   27244.7   27210.4   50.86
   52   27244.7   27210.4   50.86
   53   28721.4   29122.4   -3.60
   53   28721.4   29122.4   -3.60
   53   28721.4   29122.4   -3.60
   54   26785.0   26451.7   56.39
   55   26064.6   27078.0   -6.72
   56   40804.9   39551.5   69.68
   56   40804.9   39551.5   69.68
   56   40804.9   39551.5   69.68
   57   26579.6   27590.6   -2.64
   58   38539.3   38795.7   29.65
   59   33038.6   33653.1   -2.70
   60   34327.8   34653.8   11.83
   60   34327.8   34653.8   11.83
   60   34327.8   34653.8   11.83
   61   50509.9   48537.4   77.80
   61   50509.9   48537.4   77.80
   62   46352.0   44951.2   79.56
   62   46352.0   44951.2   79.56
   63   44856.7   43811.8   78.28
   63   44856.7   43811.8   78.28
   63   44856.7   43811.8   78.28
   64   44974.9   43846.5   65.70
   65   42882.0   41984.9   62.42
   66   44217.6   43679.2   56.88
   66   44217.6   43679.2   56.88
   66   44217.6   43679.2   56.88
   67   42499.4   43585.1   11.81
   67   42499.4   43585.1   11.81
   68   38737.9   39106.6    7.38
   68   38737.9   39106.6    7.38
   69   39112.7   37608.3   79.17
